date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:34:05	43535/43535	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2012:51:22%20GMT	https://grandetest.com/theme/html-careerup/page-employer-list-v1.html	grandetest.com/theme/html-careerup/page-employer-list-v1.html	(from https://grandetest.com/theme/html-careerup/)
08:34:05	44573/44573	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2012:51:50%20GMT	https://grandetest.com/theme/html-careerup/page-employer-list-v2.html	grandetest.com/theme/html-careerup/page-employer-list-v2.html	(from https://grandetest.com/theme/html-careerup/)
08:34:06	33676/33676	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-employer-list-v3.html	grandetest.com/theme/html-careerup/page-employer-list-v3.html	(from https://grandetest.com/theme/html-careerup/)
08:34:07	42321/42321	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-employer-single-v1.html	grandetest.com/theme/html-careerup/page-employer-single-v1.html	(from https://grandetest.com/theme/html-careerup/)
08:34:09	42305/42305	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-employer-single-v2.html	grandetest.com/theme/html-careerup/page-employer-single-v2.html	(from https://grandetest.com/theme/html-careerup/)
08:34:09	42536/42536	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:48%20GMT	https://grandetest.com/theme/html-careerup/page-employer-single-v3.html	grandetest.com/theme/html-careerup/page-employer-single-v3.html	(from https://grandetest.com/theme/html-careerup/)
08:34:10	34544/34544	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:25:40%20GMT	https://grandetest.com/theme/html-careerup/page-employer-dashboard.html	grandetest.com/theme/html-careerup/page-employer-dashboard.html	(from https://grandetest.com/theme/html-careerup/)
08:34:11	35095/35095	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-employer-profile.html	grandetest.com/theme/html-careerup/page-employer-profile.html	(from https://grandetest.com/theme/html-careerup/)
08:34:12	35258/35258	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-employer-post-job.html	grandetest.com/theme/html-careerup/page-employer-post-job.html	(from https://grandetest.com/theme/html-careerup/)
08:34:13	32670/32670	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:26:49%20GMT	https://grandetest.com/theme/html-careerup/page-employer-manage-job.html	grandetest.com/theme/html-careerup/page-employer-manage-job.html	(from https://grandetest.com/theme/html-careerup/)
